Nationalratswahl 2019, 29.09.2019 (Bericht wurde generiert am 08.10.2019 um 16:42)
Bezirk_Id;Bezirk;Gemeinde_Id;Gemeinde;Wahlberechtigte männlich;Wahlberechtigte weiblich;Auslandsösterreicher Wahlberechtigte männlich;Auslandsösterreicher Wahlberechtigte weiblich;Wahlberechtigte gesamt;Abgegebene Stimmen;Wahlbeteiligung;Gültige Stimmen;Ungültige Stimmen;Nr./Wählergruppe1;Name/Wählergruppe1;Stimmen/Wählergruppe1;Prozente/Wählergruppe1;Nr./Wählergruppe2;Name/Wählergruppe2;Stimmen/Wählergruppe2;Prozente/Wählergruppe2;Nr./Wählergruppe3;Name/Wählergruppe3;Stimmen/Wählergruppe3;Prozente/Wählergruppe3;Nr./Wählergruppe4;Name/Wählergruppe4;Stimmen/Wählergruppe4;Prozente/Wählergruppe4;Nr./Wählergruppe5;Name/Wählergruppe5;Stimmen/Wählergruppe5;Prozente/Wählergruppe5;Nr./Wählergruppe6;Name/Wählergruppe6;Stimmen/Wählergruppe6;Prozente/Wählergruppe6;Nr./Wählergruppe7;Name/Wählergruppe7;Stimmen/Wählergruppe7;Prozente/Wählergruppe7;Nr./Wählergruppe8;Name/Wählergruppe8;Stimmen/Wählergruppe8;Prozente/Wählergruppe8;Nr./Wählergruppe9;Name/Wählergruppe9;Stimmen/Wählergruppe9;Prozente/Wählergruppe9;
703;Innsbruck-Land;70305;Baumkirchen;483;473;6;6;956;531;55,54;528;3;1;ÖVP;235;44,51;2;SPÖ;68;12,88;3;FPÖ;92;17,42;4;NEOS;41;7,77;5;JETZT;17;3,22;6;GRÜNE;68;12,88;7;GILT;2;0,38;8;KPÖ;3;0,57;9;WANDL;2;0,38;
703;Innsbruck-Land;70306;Birgitz;537;581;7;11;1118;699;62,52;693;6;1;ÖVP;312;45,02;2;SPÖ;77;11,11;3;FPÖ;88;12,70;4;NEOS;71;10,25;5;JETZT;13;1,88;6;GRÜNE;121;17,46;7;GILT;1;0,14;8;KPÖ;5;0,72;9;WANDL;5;0,72;
703;Innsbruck-Land;70307;Ellbögen;459;452;4;0;911;608;66,74;605;3;1;ÖVP;343;56,69;2;SPÖ;60;9,92;3;FPÖ;89;14,71;4;NEOS;51;8,43;5;JETZT;8;1,32;6;GRÜNE;48;7,93;7;GILT;1;0,17;8;KPÖ;4;0,66;9;WANDL;1;0,17;
703;Innsbruck-Land;70308;Flaurling;460;522;0;1;982;635;64,66;628;7;1;ÖVP;292;46,50;2;SPÖ;95;15,13;3;FPÖ;73;11,62;4;NEOS;50;7,96;5;JETZT;18;2,87;6;GRÜNE;96;15,29;7;GILT;1;0,16;8;KPÖ;3;0,48;9;WANDL;0;0,00;
703;Innsbruck-Land;70309;Fritzens;837;832;8;5;1669;1012;60,64;1008;4;1;ÖVP;421;41,77;2;SPÖ;147;14,58;3;FPÖ;169;16,77;4;NEOS;103;10,22;5;JETZT;21;2,08;6;GRÜNE;131;13,00;7;GILT;2;0,20;8;KPÖ;10;0,99;9;WANDL;4;0,40;
703;Innsbruck-Land;70310;Fulpmes;1511;1580;8;15;3091;1792;57,97;1778;14;1;ÖVP;788;44,32;2;SPÖ;319;17,94;3;FPÖ;285;16,03;4;NEOS;148;8,32;5;JETZT;26;1,46;6;GRÜNE;202;11,36;7;GILT;1;0,06;8;KPÖ;6;0,34;9;WANDL;3;0,17;
703;Innsbruck-Land;70311;Gnadenwald;308;312;2;1;620;401;64,68;398;3;1;ÖVP;222;55,78;2;SPÖ;26;6,53;3;FPÖ;49;12,31;4;NEOS;42;10,55;5;JETZT;6;1,51;6;GRÜNE;51;12,81;7;GILT;0;0,00;8;KPÖ;0;0,00;9;WANDL;2;0,50;
703;Innsbruck-Land;70312;Götzens;1484;1607;11;15;3091;1794;58,04;1781;13;1;ÖVP;772;43,35;2;SPÖ;218;12,24;3;FPÖ;307;17,24;4;NEOS;174;9,77;5;JETZT;28;1,57;6;GRÜNE;266;14,94;7;GILT;2;0,11;8;KPÖ;7;0,39;9;WANDL;7;0,39;
703;Innsbruck-Land;70313;Gries am Brenner;504;487;4;5;991;630;63,57;629;1;1;ÖVP;328;52,15;2;SPÖ;77;12,24;3;FPÖ;134;21,30;4;NEOS;29;4,61;5;JETZT;10;1,59;6;GRÜNE;43;6,84;7;GILT;0;0,00;8;KPÖ;4;0,64;9;WANDL;4;0,64;
703;Innsbruck-Land;70314;Gries im Sellrain;235;243;0;0;478;327;68,41;324;3;1;ÖVP;179;55,25;2;SPÖ;70;21,60;3;FPÖ;32;9,88;4;NEOS;14;4,32;5;JETZT;3;0,93;6;GRÜNE;21;6,48;7;GILT;1;0,31;8;KPÖ;0;0,00;9;WANDL;4;1,23;
